Index,Company,Ticker
OBX,Nordic Semiconductor,NOD
OBX,Norsk Hydro,NHY
OBX,Norwegian Air Shuttle,NAS
OBX,Orkla,ORK
OBX,PGS,PGS
OBX,SalMar,SALM
OBX,Storebrand,STB
OBX,Subsea 7,SUBC
OBX,Telenor,TEL
OBX,TGS ASA,TGS
OBX,Tomra Systems,TOM
OBX,Vår Energi ASA,VAR
OBX,Yara International,YAR
OSEBX,Acta Holding,ACTA
OSEBX,Acergy,ACY
OSEBX,AF Gruppen,AFG
OSEBX,Arendals Fossekompani,AFK
OSEBX,AGR Group,AGR
OSEBX,Aktiv Kapital,AIK
OSEBX,Aker BioMarine,AKBM
OSEBX,Aker,AKER
OSEBX,Aker Floating Production,AKFP
OSEBX,Aker Seafoods,AKS
OSEBX,Aker Solutions,AKSO
OSEBX,AKVA Group,AKVA
OSEBX,Algeta,ALGETA
OSEBX,American Shipping,AMSC
OSEBX,Apptix,APP
OSEBX,ABG Sundal Collier,ASC
OSEBX,Axis-Shield,ASD
OSEBX,Atea,ATEA
OSEBX,Austevoll Seafood,AUSS
OSEBX,Avocet Mining,AVM
OSEBX,Bakkafrost,BAKKA
OSEBX,Belships,BEL
OSEBX,Bergen Group,BERGEN
OSEBX,Bionor Pharma,BIONOR
OSEBX,Biotec Pharmacon,BIOTEC
OSEBX,Birdstep Technology,BIRD
OSEBX,Blom,BLO
OSEBX,Byggma,BMA
OSEBX,Bonheur,BON
OSEBX,Borgestad,BOR
OSEBX,BWG Homes,BWG
OSEBX,BW Offshore Limited,BWO
OSEBX,Camillo Eitzen & Co,CECO
OSEBX,Cermaq,CEQ
OSEBX,Clavis Pharma,CLAVIS
OSEBX,Codfarmers,COD
OSEBX,Comrod Communication,COMROD
OSEBX,Copeinca,COP
OSEBX,ContextVision,COV
OSEBX,Data Respons,DAT
OSEBX,Deep Sea Supply,DESSC
OSEBX,Det norske oljeselskap,DETNOR
OSEBX,DiaGenic,DIAG
OSEBX,DNB,DNB
OSEBX,DNO International,DNO
OSEBX,Dockwise,DOCK
OSEBX,DOF,DOF
OSEBX,Dolphin Interconnect Solutions,DOLP
OSEBX,Domstein,DOM
OSEBX,Eitzen Chemical,ECHEM
OSEBX,EDB ErgoGroup,EDBASA
OSEBX,Eidesvik Offshore,EIOF
OSEBX,Ekornes,EKO
OSEBX,Eltek,ELT
OSEBX,Electromagnetic G,EMGS
OSEBX,Eitzen Maritime Services,EMS
OSEBX,EOC,EOC
OSEBX,Fairstar Heavy Tr,FAIR
OSEBX,Faktor Eiendom,FAKTOR
OSEBX,Farstad Shipping,FAR
OSEBX,Fara,FARA
OSEBX,Fornebu Utvikling,FBU
OSEBX,Fred. Olsen Energy,FOE
OSEBX,Fred. Olsen Production,FOP
OSEBX,Frontline,FRO
OSEBX,Funcom,FUNCOM
OSEBX,Grenland Group,GGG
OSEBX,Goodtech,GOD
OSEBX,Golden Ocean Group,GOGL
OSEBX,Golar LNG,GOL
OSEBX,Ganger Rolf,GRO
OSEBX,Green Reefers,GRR
OSEBX,Grieg Seafood,GSF
OSEBX,GTB Invest,GTB
OSEBX,Gyldendal,GYL
OSEBX,Havila Shipping,HAVI
OSEBX,Hexagon Composites,HEX
OSEBX,Hafslund ser. A,HNA
OSEBX,Hafslund ser. B,HNB
OSEBX,Hurtigruten,HRG
OSEBX,IGE Resources,IGE
OSEBX,Ignis,IGNIS
OSEBX,Imarex,IMAREX
OSEBX,I.M. Skaugen,IMSK
OSEBX,Infratek,INFRA
OSEBX,Inmeta,INM
OSEBX,InterOil Exploration and Production,IOX
OSEBX,Itera,ITE
OSEBX,Intex Resources,ITX
OSEBX,Jinhui Shipping a,JIN
OSEBX,Kitron,KIT
OSEBX,Kongsberg Automot,KOA
OSEBX,Kongsberg Gruppen,KOG
OSEBX,Komplett,KOM
OSEBX,Kverneland,KVE
OSEBX,Lerøy Seafood Group,LSG
OSEBX,Mamut,MAMUT
OSEBX,Medi-Stim,MEDI
OSEBX,Marine Harvest,MHG
OSEBX,MARITIME INDUSTRI,MIS
OSEBX,Morpol,MORPOL
OSEBX,Namsos Trafikkselskap,NAM
OSEBX,Norwegian Air Shuttle,NAS
OSEBX,Northland Resources,NAUR
OSEBX,Navamedic,NAVA
OSEBX,NEAS,NEAS
OSEBX,Norse Energy Corp.,NEC
OSEBX,Norsk Hydro,NHY
OSEBX,Nio Security,NIO
OSEBX,Northern Logistic,NLPR
OSEBX,Norwegian Car Car,NOCC
OSEBX,Nordic Semiconductor,NOD
OSEBX,Northern Offshore,NOF
OSEBX,Norwegian Energy,NOR
OSEBX,NorDiag,NORD
OSEBX,Norway Pelagic,NPEL
OSEBX,Norwegian Property,NPRO
OSEBX,Norske Skogindustrier,NSG
OSEBX,Odfjell ser. A,ODF
OSEBX,Odfjell ser. B,ODFB
OSEBX,Olav Thon Eiendom,OLT
OSEBX,Opera Software,OPERA
OSEBX,Oceanteam,OPU
OSEBX,Orkla,ORK
OSEBX,ORIGIO,ORO
OSEBX,PA Resources,PAR
OSEBX,Petrolia Drilling,PDR
OSEBX,Panoro Energy,PEN
OSEBX,Petroleum Geo-Ser,PGS
OSEBX,Photocure,PHO
OSEBX,Polaris Media,POL
OSEBX,Pronova BioPharma,PRON
OSEBX,Protector Forsikring,PROTCT
OSEBX,Prosafe,PRS
OSEBX,PSI Group,PSI
OSEBX,Questerre Energy,QEC
OSEBX,Q-Free,QFR
OSEBX,Royal Caribbean C,RCL
OSEBX,Renewable Energy,REC
OSEBX,Repant,REPANT
OSEBX,Rocksource,RGT
OSEBX,Rieber & Søn,RIE
OSEBX,GC Rieber Shipping,RISH
OSEBX,Reservoir Explora,RXT
OSEBX,SalMar,SALM
OSEBX,SAS AB,SAS NOK
OSEBX,SeaBird Exploration,SBX
OSEBX,Schibsted,SCH
OSEBX,Scana Industrier,SCI
OSEBX,Seadrill,SDRL
OSEBX,Sevan Marine,SEVAN
OSEBX,Statoil Fuel & Retail,SFR
OSEBX,Simtronics,SIMTRO
OSEBX,Siem Offshore,SIOFF
OSEBX,Skiens Aktiemølle,SKI
OSEBX,Stolt-Nielsen,SNI
OSEBX,Solstad Offshore,SOFF
OSEBX,Solvang,SOLV
OSEBX,Songa Offshore,SONG
OSEBX,Star Reefers Inc.,SRI
OSEBX,Storebrand,STB
OSEBX,Statoil,STL
OSEBX,Storm Real Estate,STORM
OSEBX,Subsea 7,SUB
OSEBX,Teco Maritime,TECO
OSEBX,Telenor,TEL
OSEBX,Telio Holding,TELIO
OSEBX,TGS-NOPEC Geophys,TGS
OSEBX,Tide,TIDE
OSEBX,Tomra Systems,TOM
OSEBX,TTS Group,TTS
OSEBX,Veidekke,VEI
OSEBX,Vizrt,VIZ
OSEBX,Voss Veksel- og L,VVL
OSEBX,Wentworth Resources,WRL
OSEBX,Wilh. Wilhelmsen,WWASA
OSEBX,Wilh. Wilhelmsen,WWI
OSEBX,Wilh. Wilhelmsen,WWIB
OSEBX,Yara International,YAR
PSI_20,Altri,ALTR
PSI_20,Banco Comercial Português,BCP
PSI_20,Corticeira Amorim,COR
PSI_20,CTT Correios de Portugal,CTT
PSI_20,EDP Renováveis,EDPR
PSI_20,Energias de Portugal,EDP
PSI_20,Galp Energia,GALP
PSI_20,Ibersol,IBS
PSI_20,Jerónimo Martins,JMT
PSI_20,Mota-Engil,EGL
PSI_20,NOS,NOS
PSI_20,Novabase,NBA
PSI_20,Pharol,PHR
PSI_20,Redes Energéticas Nacionais,RENE
PSI_20,Semapa,SEM
PSI_20,Sonae,SON
PSI_20,Sonae Capital,SONC
PSI_20,The Navigator Company,NVG
